,name,cluster
169,Jordan McRae,5
170,Josh Hart,1
171,Josh Jackson,21
172,Josh Okogie,18
173,Josh Richardson,21
174,Jrue Holiday,16
175,Juancho Hernangomez,5
176,Julius Randle,11
177,Justin Holiday,23
178,Justin Jackson,8
179,Justise Winslow,6
180,Jusuf Nurkic,7
181,Kadeem Allen,5
182,Karl-Anthony Towns,11
183,Kawhi Leonard,16
184,Keita Bates-Diop,18
185,Kelly Olynyk,8
186,Kelly Oubre Jr.,21
187,Kemba Walker,16
188,Kenneth Faried,22
189,Kenrich Williams,8
190,Kent Bazemore,1
191,Kentavious Caldwell-Pope,23
192,Kevin Durant,16
193,Kevin Huerter,8
194,Kevin Knox II,2
195,Kevin Love,4
196,Khris Middleton,21
197,Klay Thompson,17
198,Kris Dunn,21
199,Kyle Anderson,7
200,Kyle Korver,0
201,Kyle Kuzma,16
202,Kyle Lowry,4
203,Kyrie Irving,16
204,LaMarcus Aldridge,11
205,Lance Stephenson,1
206,Landry Shamet,1
207,Langston Galloway,23
208,Larry Nance Jr.,9
209,Lauri Markkanen,21
210,LeBron James,16
211,Lonzo Ball,8
212,Lou Williams,16
213,Luka Doncic,16
214,Luke Kennard,23
215,Luke Kornet,10
216,Luol Deng,5
217,Malcolm Brogdon,2
218,Malik Beasley,8
219,Malik Monk,0
220,MarShon Brooks,5
221,Marc Gasol,6
222,Marco Belinelli,0
223,Marcus Morris Sr.,2
224,Marcus Smart,8
225,Mario Hezonja,5
226,Markelle Fultz,12
227,Markieff Morris,10
228,Marvin Bagley III,7
229,Marvin Williams,10
230,Mason Plumlee,22
231,Matthew Dellavedova,0
232,Maurice Harkless,9
233,Maxi Kleber,10
234,Michael Beasley,7
235,Michael Kidd-Gilchrist,12
236,Mikal Bridges,1
237,Mike Conley,17
238,Mike Muscala,0
239,Mike Scott,10
240,Miles Bridges,5
241,Mitchell Creek,9
242,Mo Bamba,12
243,Monte Morris,5
244,Montrezl Harrell,7
245,Myles Turner,6
246,Nemanja Bjelica,5
247,Nicolas Batum,8
248,Nik Stauskas,0
249,Nikola Jokic,11
250,Nikola Mirotic,23
251,Nikola Vucevic,11
252,Noah Vonleh,12
253,Norman Powell,5
254,OG Anunoby,5
255,Omari Spellman,5
256,Otto Porter Jr.,2
257,P.J. Tucker,10
258,PJ Dozier,13
259,Pascal Siakam,6
260,Pat Connaughton,8
261,Patrick Beverley,0
262,Patty Mills,1
263,Paul George,16
264,Paul Millsap,6
265,Quinn Cook,0
266,RJ Hunter,14
267,Rajon Rondo,2
268,Reggie Bullock,23
269,Reggie Jackson,2
270,Richaun Holmes,19
271,Ricky Rubio,21
272,Robert Covington,4
273,Robin Lopez,22
274,Rodions Kurucs,12
275,Rodney Hood,2
276,Rodney McGruder,5
277,Rondae Hollis-Jefferson,7
278,Rudy Gay,6
279,Rudy Gobert,19
280,Russell Westbrook,16
281,Ryan Arcidiacono,8
282,Sam Dekker,9
283,Serge Ibaka,6
284,Seth Curry,1
285,Shabazz Napier,1
286,Shai Gilgeous-Alexander,12
287,Shaquille Harrison,9
288,Shelvin Mack,18
289,Spencer Dinwiddie,4
290,Stanley Johnson,8
291,Stephen Curry,20
292,Sterling Brown,5
293,Steven Adams,19
294,T.J. McConnell,12
295,T.J. Warren,6
296,Taj Gibson,7
297,Taurean Prince,23
298,Terrance Ferguson,15
299,Terrence Ross,4
300,Terry Rozier,1
301,Thaddeus Young,6
302,Theo Pinson,14
303,Thomas Bryant,9
304,Tim Hardaway Jr.,4
305,Timothe Luwawu-Cabarrot,18
306,Tobias Harris,21
307,Tomas Satoransky,5
308,Tony Bradley,3
309,Tony Parker,12
310,Tony Snell,8
311,Torrey Craig,5
312,Trae Young,17
313,Treveon Graham,10
314,Trevor Ariza,4
315,Trey Burke,8
316,Trey Lyles,10
317,Tristan Thompson,19
318,Troy Daniels,1
319,Tyler Dorsey,8
320,Tyler Johnson,2
321,Tyler Zeller,3
322,Tyreke Evans,2
323,Tyus Jones,18
324,Victor Oladipo,17
325,Vince Carter,0
326,Walt Lemon Jr.,11
327,Wayne Ellington,0
328,Wayne Selden,5
329,Wendell Carter Jr.,7
330,Wesley Matthews,23
331,Will Barton,4
332,Willie Cauley-Stein,19
333,Willy Hernangomez,22
334,Wilson Chandler,10
335,Yogi Ferrell,18
336,Zach Collins,12
337,Zach LaVine,16
338,Zhaire Smith,13
